0.0mA_x,0.0mA_y,0.1mA_x,0.1mA_y,0.2mA_x,0.2mA_y,0.3mA_x,0.3mA_y
278.9700,  0.8513,318.7768,  0.8865,327.9630,  1.0553,328.1241,  1.4941
280.7027,  0.8505,320.7568,  0.8882,330.0000,  1.0574,330.1622,  1.4976
282.4354,  0.8498,322.7367,  0.8899,332.0370,  1.0595,332.2002,  1.5011
284.1682,  0.8491,324.7167,  0.8916,334.0741,  1.0616,334.2382,  1.5046
285.9009,  0.8484,326.6967,  0.8933,336.1111,  1.0637,336.2763,  1.5081
287.6336,  0.8477,328.6767,  0.8950,338.1481,  1.0658,338.3143,  1.5117
289.3664,  0.8470,330.6567,  0.8967,340.1852,  1.0679,340.3524,  1.5152
291.0991,  0.8463,332.6366,  0.8984,342.2222,  1.0700,342.3904,  1.5187
292.8318,  0.8456,334.6166,  0.9001,344.2593,  1.0721,344.4284,  1.5222
294.5646,  0.8449,336.5966,  0.9018,346.2963,  1.0742,346.4665,  1.5257
296.2973,  0.8442,338.5766,  0.9035,348.3333,  1.0763,348.5045,  1.5293
298.0300,  0.8434,340.5566,  0.9052,350.3704,  1.0784,350.5425,  1.5328
299.7628,  0.8427,342.5365,  0.9069,352.4074,  1.0805,352.5806,  1.5363
301.4955,  0.8420,344.5165,  0.9086,354.4444,  1.0826,354.6186,  1.5398
303.2282,  0.8413,346.4965,  0.9103,356.4815,  1.0847,356.6567,  1.5433
304.9610,  0.8406,348.4765,  0.9120,358.5185,  1.0868,358.6947,  1.5469
306.6937,  0.8399,350.4565,  0.9137,360.5556,  1.0889,360.7327,  1.5504
308.4264,  0.8392,352.4364,  0.9154,362.5926,  1.0909,362.7708,  1.5539
310.1592,  0.8385,354.4164,  0.9171,364.6296,  1.0930,364.8088,  1.5574
311.8919,  0.8378,356.3964,  0.9188,366.6667,  1.0951,366.8468,  1.5609
313.6246,  0.8371,358.3764,  0.9205,368.7037,  1.0972,368.8849,  1.5645
315.3574,  0.8363,360.3564,  0.9222,370.7407,  1.0993,370.9229,  1.5680
317.0901,  0.8356,362.3363,  0.9240,372.7778,  1.1014,372.9610,  1.5715
318.8228,  0.8349,364.3163,  0.9257,374.8148,  1.1035,374.9990,  1.5750
320.5556,  0.8342,366.2963,  0.9274,376.8519,  1.1056,377.0370,  1.5785
322.2883,  0.8335,368.2763,  0.9291,378.8889,  1.1077,379.0751,  1.5820
324.0210,  0.8328,370.2563,  0.9308,380.9259,  1.1098,381.1131,  1.5856
325.7538,  0.8321,372.2362,  0.9325,382.9630,  1.1119,383.1512,  1.5891
327.4865,  0.8314,374.2162,  0.9342,385.0000,  1.1140,385.1892,  1.5926
329.2192,  0.8307,376.1962,  0.9359,387.0370,  1.1161,387.2272,  1.5961
330.9520,  0.8300,378.1762,  0.9376,389.0741,  1.1182,389.2653,  1.5996
332.6847,  0.8292,380.1562,  0.9393,391.1111,  1.1203,391.3033,  1.6032
334.4174,  0.8285,382.1361,  0.9410,393.1481,  1.1224,393.3413,  1.6067
336.1502,  0.8278,384.1161,  0.9427,395.1852,  1.1245,395.3794,  1.6102
337.8829,  0.8271,386.0961,  0.9444,397.2222,  1.1266,397.4174,  1.6137
339.6156,  0.8264,388.0761,  0.9461,399.2593,  1.1287,399.4555,  1.6172
341.3483,  0.8257,390.0561,  0.9478,401.2963,  1.1308,401.4935,  1.6208
343.0811,  0.8250,392.0360,  0.9495,403.3333,  1.1329,403.5315,  1.6243
344.8138,  0.8243,394.0160,  0.9512,405.3704,  1.1350,405.5696,  1.6278
346.5465,  0.8236,395.9960,  0.9529,407.4074,  1.1371,407.6076,  1.6313
348.2793,  0.8229,397.9760,  0.9546,409.4444,  1.1392,409.6456,  1.6348
350.0120,  0.8221,399.9560,  0.9563,411.4815,  1.1413,411.6837,  1.6384
351.7447,  0.8214,401.9359,  0.9580,413.5185,  1.1434,413.7217,  1.6419
353.4775,  0.8207,403.9159,  0.9597,415.5556,  1.1455,415.7598,  1.6454
355.2102,  0.8200,405.8959,  0.9614,417.5926,  1.1476,417.7978,  1.6489
356.9429,  0.8193,407.8759,  0.9631,419.6296,  1.1497,419.8358,  1.6524
358.6757,  0.8186,409.8559,  0.9648,421.6667,  1.1518,421.8739,  1.6559
360.4084,  0.8179,411.8358,  0.9665,423.7037,  1.1539,423.9119,  1.6595
362.1411,  0.8172,413.8158,  0.9682,425.7407,  1.1560,425.9499,  1.6630
363.8739,  0.8165,415.7958,  0.9699,427.7778,  1.1581,427.9880,  1.6665
365.6066,  0.8158,417.7758,  0.9716,429.8148,  1.1602,430.0260,  1.6700
367.3393,  0.8150,419.7558,  0.9733,431.8519,  1.1623,432.0641,  1.6735
369.0721,  0.8143,421.7357,  0.9750,433.8889,  1.1644,434.1021,  1.6771
370.8048,  0.8136,423.7157,  0.9767,435.9259,  1.1665,436.1401,  1.6806
372.5375,  0.8129,425.6957,  0.9785,437.9630,  1.1685,438.1782,  1.6841
374.2703,  0.8122,427.6757,  0.9802,440.0000,  1.1706,440.2162,  1.6876
376.0030,  0.8115,429.6557,  0.9819,442.0370,  1.1727,442.2543,  1.6911
377.7357,  0.8108,431.6356,  0.9836,444.0741,  1.1748,444.2923,  1.6947
379.4685,  0.8101,433.6156,  0.9853,446.1111,  1.1769,446.3303,  1.6982
381.2012,  0.8094,435.5956,  0.9870,448.1481,  1.1790,448.3684,  1.7017
382.9339,  0.8087,437.5756,  0.9887,450.1852,  1.1811,450.4064,  1.7052
384.6667,  0.8079,439.5556,  0.9904,452.2222,  1.1832,452.4444,  1.7087
386.3994,  0.8072,441.5355,  0.9921,454.2593,  1.1853,454.4825,  1.7123
388.1321,  0.8065,443.5155,  0.9938,456.2963,  1.1874,456.5205,  1.7158
389.8649,  0.8058,445.4955,  0.9955,458.3333,  1.1895,458.5586,  1.7193
391.5976,  0.8051,447.4755,  0.9972,460.3704,  1.1916,460.5966,  1.7228
393.3303,  0.8044,449.4555,  0.9989,462.4074,  1.1937,462.6346,  1.7263
395.0631,  0.8037,451.4354,  1.0006,464.4444,  1.1958,464.6727,  1.7298
396.7958,  0.8030,453.4154,  1.0023,466.4815,  1.1979,466.7107,  1.7334
398.5285,  0.8023,455.3954,  1.0040,468.5185,  1.2000,468.7487,  1.7369
400.2613,  0.8016,457.3754,  1.0057,470.5556,  1.2021,470.7868,  1.7404
401.9940,  0.8008,459.3554,  1.0074,472.5926,  1.2042,472.8248,  1.7439
403.7267,  0.8001,461.3353,  1.0091,474.6296,  1.2063,474.8629,  1.7474
405.4595,  0.7994,463.3153,  1.0108,476.6667,  1.2084,476.9009,  1.7510
407.1922,  0.7987,465.2953,  1.0125,478.7037,  1.2105,478.9389,  1.7545
